País,Código de País,Código de ubicación,Año,Hombres,Mujeres
   Puerto Rico*,PRI,630,2005,166780,185364
   Saint Barthélemy*,BLM,652,2005,0,0
   Saint Kitts and Nevis,KNA,659,2005,3501,3181
   Saint Lucia,LCA,662,2005,4841,4998
   Saint Martin (French part)*,MAF,663,2005,0,0
   Saint Vincent and the Grenadines,VCT,670,2005,2198,2238
   Sint Maarten (Dutch part)*,SXM,534,2005,6285,6814
   Trinidad and Tobago,TTO,780,2005,20647,24165
   Turks and Caicos Islands*,TCA,796,2005,6787,6328
   United States Virgin Islands*,VIR,850,2005,26726,29921
   Belize,BLZ,84,2005,21052,20386
   Costa Rica,CRI,188,2005,176445,181953
   El Salvador,SLV,222,2005,17034,18995
   Guatemala,GTM,320,2005,26048,31166
   Honduras,HND,340,2005,14476,13458
   Mexico,MEX,484,2005,359724,352924
   Nicaragua,NIC,558,2005,17774,17145
   Panama,PAN,591,2005,55632,53829
   Argentina,ARG,32,2005,775308,898855
   Bolivia (Plurinational State of),BOL,68,2005,56019,51726
   Brazil,BRA,76,2005,343019,295563
   Chile,CHL,152,2005,131414,144946
   Colombia,COL,170,2005,54938,51585
   Ecuador,ECU,218,2005,97472,92421
   Falkland Islands (Malvinas)*,FLK,238,2005,675,491
   French Guiana*,GUF,254,2005,42729,43739
   Guyana,GUY,328,2005,5817,5051
   Paraguay,PRY,600,2005,87698,80545
   Peru,PER,604,2005,38959,38918
   Suriname,SUR,740,2005,18338,15324
   Uruguay,URY,858,2005,37658,44659
   Venezuela (Bolivarian Republic of),VEN,862,2005,538197,538277
   Bermuda*,BMU,60,2005,8783,9325
   Canada,CAN,124,2005,2915838,3163147
   Greenland*,GRL,304,2005,4461,2095
   Saint Pierre and Miquelon*,SPM,666,2005,597,550
   United States of America*,USA,840,2005,19614878,19643415
   Australia*,AUS,36,2005,2419190,2458840
   New Zealand*,NZL,554,2005,407690,432262
   Fiji,FJI,242,2005,6563,5871
   New Caledonia*,NCL,540,2005,29909,25496
   Papua New Guinea,PNG,598,2005,17851,12120
   Solomon Islands,SLB,90,2005,1830,1441
   Vanuatu,VUT,548,2005,1398,1402
   Guam*,GUM,316,2005,38602,36141
   Kiribati,KIR,296,2005,1312,1175
   Marshall Islands,MHL,584,2005,1485,932
   Micronesia (Fed. States of),FSM,583,2005,1565,1340
   Nauru,NRU,520,2005,1208,1045
