,Region of Incident,Incident year,Number of Dead,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Region of Origin,Country of Origin,Migration route,Coordinates
1382,Northern Africa,2016,6.0,6,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"14.0316722, 35.3417723"
1383,Northern Africa,2016,11.0,11,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"23.2488413, 19.7242161"
1384,Northern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"12.0521564, 24.8744624"
1385,Northern Africa,2016,20.0,20,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"23.2488413, 19.7242161"
1386,Northern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"12.0521564, 24.8744624"
1387,Northern Africa,2016,5.0,5,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"27.0295078, 14.3890835"
1388,Northern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"15.5015341, 32.5025561"
1389,Northern Africa,2016,3.0,3,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"23.2488413, 19.7242161"
1390,Eastern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"14.8019406, 36.0702206"
1391,Northern Africa,2016,2.0,2,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"22.3901546, 31.5512116"
1392,Northern Africa,2016,6.0,6,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"23.459686, 30.6654494"
1393,Northern Africa,2016,9.0,9,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"17.7236685, 33.8055978"
1394,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.206583, -112.665017"
1395,Central America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,,"26.0033668, -100.5386708"
1396,North America,2016,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"30.3062589, -97.8398485"
1397,Caribbean,2016,9.0,9,18.0,,,,Caribbean,Cuba,Caribbean to US,"25.9312075, -81.7170878"
1398,Mediterranean,2016,51.0,51,,,,,Mixed,"Bangladesh,Sudan,Unknown",Central Mediterranean,"32.8843519, 13.1507228"
1399,Central America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,,"26.2690307, -101.1128975"
1400,Central America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,,"20.129511, -104.4682014"
1401,Northern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"20.6706756, 24.074248"
1402,Northern Africa,2016,3.0,3,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"15.5015341, 32.5025561"
1403,Northern Africa,2016,2.0,2,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"14.0316722, 35.3417723"
1404,Northern Africa,2016,5.0,5,,,,,Eastern Africa (P),Unknown,,"30.6096738, 32.8993266"
1405,Northern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"23.459686, 30.6654494"
1406,Northern Africa,2016,2.0,2,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"14.0316722, 35.3417723"
1407,Northern Africa,2016,21.0,21,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"23.2488413, 19.7242161"
1408,Northern Africa,2016,2.0,2,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"12.0521564, 24.8744624"
1409,Northern Africa,2016,3.0,3,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"27.0295078, 14.3890835"
1410,Northern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"12.0521564, 24.8744624"
1411,Northern Africa,2016,11.0,11,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"23.2488413, 19.7242161"
1412,Northern Africa,2016,5.0,5,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"15.5015341, 32.5025561"
1413,Northern Africa,2016,2.0,2,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"13.9731737, 35.3431691"
1414,Northern Africa,2016,2.0,2,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"14.0316722, 35.3417723"
1415,Northern Africa,2016,10.0,10,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"23.2488413, 19.7242161"
1416,Northern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,,"30.2723743, 19.0741052"
1417,Northern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"13.9731737, 35.3431691"
1418,Northern Africa,2016,3.0,3,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"27.0295078, 14.3890835"
1419,Northern Africa,2016,8.0,8,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"23.2488413, 19.7242161"
1420,Central America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,,"19.0562477, -96.3814844"
1421,Mediterranean,2016,2.0,2,40.0,2.0,,2.0,Western / Southern Asia (P),Unknown,Eastern Mediterranean,"36.1552778, 29.4950335"
1422,Mediterranean,2016,2.0,2,,,2.0,,Western / Southern Asia (P),Unknown,Eastern Mediterranean,"39.20970783, 26.5175596445"
1423,Mediterranean,2016,,4,,,,,Unknown,Unknown,Central Mediterranean,"35.4976985, 12.6021153"
1424,North America,2016,1.0,1,,1.0,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"26.9403821, -97.9181768"
1425,North America,2016,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"27.4214557, -97.8516369"
1426,North America,2016,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"26.376354, -98.3833477"
1427,Western Asia,2016,1.0,1,,,1.0,,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.7037377, 36.6230721"
1428,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.0037, -111.705333"
1429,Central America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,,"19.0459634, -96.4303668"
1430,Mediterranean,2016,1.0,1,,,1.0,1.0,Eastern Africa,Somalia,Central Mediterranean,"39.1964403, 9.1054269"
1431,Central America,2016,1.0,1,1.0,,1.0,,Central America,Honduras,,"17.2649928, -91.0024625"
1432,Europe,2016,2.0,2,,,2.0,,Western / Southern Asia (P),Unknown,Western Balkans,"41.9736149, 27.52643"
1433,Western Asia,2016,1.0,1,,1.0,,,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.7478496, 36.5756967"
1434,North America,2016,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"32.69266, -114.62762"
1435,Northern Africa,2016,2.0,2,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"21.8240759, 31.2606253"
1436,Central America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,,"22.0741876, -102.277884"
1437,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"26.376354, -98.3833477"
1438,Mediterranean,2016,12.0,12,,,,,Mixed,Unknown,Central Mediterranean,"32.791242, 13.7026574"
1439,North America,2016,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"26.376354, -98.3833477"
