,Region of Incident,Incident year,Number of Dead,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Region of Origin,Country of Origin,Migration route,Coordinates
9800,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"36.81293079, 59.09646157"
9801,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.95046741, 57.57054013"
9802,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.1793466, 56.2781423"
9803,Southern Asia,2021,1.0,1,,1.0,,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.59303024, 50.66559392"
9804,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.05124289, 61.50177317"
9805,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.05124289, 61.50177317"
9806,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.1403563, 58.1782498"
9807,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.1403563, 58.1782498"
9808,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.1403563, 58.1782498"
9809,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.1403563, 58.1782498"
9810,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.1403563, 58.1782498"
9811,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.1403563, 58.1782498"
9812,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.1403563, 58.1782498"
9813,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.1403563, 58.1782498"
9814,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.63186286, 52.51236196"
9815,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.63186286, 52.51236196"
9816,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.35022729, 62.35316592"
9817,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.1403563, 58.1782498"
9818,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.1892535, 56.23307736"
9819,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.5435505, 57.1494704"
9820,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.1403563, 58.1782498"
9821,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.63186286, 52.51236196"
9822,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.1403563, 58.1782498"
9823,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.1403563, 58.1782498"
9824,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.1403563, 58.1782498"
9825,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.26262238, 54.92222284"
9826,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.88472913, 54.33057395"
9827,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.1793466, 56.2781423"
9828,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.35022729, 62.35316592"
9829,Southern Asia,2021,1.0,1,,,,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"27.1793466, 56.2781423"
9830,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.1403563, 58.1782498"
9831,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.1403563, 58.1782498"
9832,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.35022729, 62.35316592"
9833,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"36.44746436, 59.39773944"
9834,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.47645121, 60.86744515"
9835,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.35710118, 52.8090266"
9836,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.89202146, 61.68389773"
9837,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.35022729, 62.35316592"
9838,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.47645121, 60.86744515"
9839,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.47645121, 60.86744515"
9840,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.868884, 61.1628427"
9841,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.89202146, 61.68389773"
9842,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.89202146, 61.68389773"
9843,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.63186286, 52.51236196"
9844,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.27629382, 57.0662465"
9845,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.89461767, 50.90279461"
9846,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.82817, 52.32536"
9847,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.99566687, 57.72427834"
9848,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.95046741, 57.57054013"
9849,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.2661428, 51.2120597"
9850,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.99566687, 57.72427834"
9851,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"36.8127762, 59.0964723"
9852,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.95046741, 57.57054013"
9853,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.63186286, 52.51236196"
9854,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.26241605, 55.78450707"
9855,Southern Asia,2021,1.0,1,,1.0,,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.26241605, 55.78450707"
9856,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.63186286, 52.51236196"
9857,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.63186286, 52.51236196"
9858,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"32.25398987, 52.50577501"
9859,Southern Asia,2021,1.0,1,,1.0,,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.47645121, 60.86744515"
9860,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"32.81375148, 51.66861535"
9861,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.35022729, 62.35316592"
9862,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.63186286, 52.51236196"
9863,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"36.66547268, 59.13055843"
9864,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.63186286, 52.51236196"
9865,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.63186286, 52.51236196"
9866,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.91397523, 50.92710097"
9867,Southern Asia,2021,1.0,1,,1.0,,,Southern Asia,Afghanistan,Afghanistan to Iran,"32.25398987, 52.50577501"
9868,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.63186286, 52.51236196"
9869,Southern Asia,2021,1.0,1,,,,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"30.89202146, 61.68389773"
9870,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.89202146, 61.68389773"
9871,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.63186286, 52.51236196"
9872,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.05124289, 61.50177317"
9873,Southern Asia,2021,1.0,1,,,,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"31.05124289, 61.50177317"
9874,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.05124289, 61.50177317"
9875,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.63186286, 52.51236196"
9876,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.05124289, 61.50177317"
9877,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.63186286, 52.51236196"
9878,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.63186286, 52.51236196"
9879,Southern Asia,2021,1.0,1,,,,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"29.63186286, 52.51236196"
9880,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.94479556, 51.04776985"
9881,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.63186286, 52.51236196"
9882,Southern Asia,2021,1.0,1,,1.0,,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.27629382, 57.0662465"
9883,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.3350096, 48.8702866"
9884,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.05124289, 61.50177317"
9885,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.27629382, 57.0662465"
9886,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.47645121, 60.86744515"
9887,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"34.03107046, 51.44519483"
9888,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.35022729, 62.35316592"
9889,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.27629382, 57.0662465"
9890,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.2865905, 57.6697047"
9891,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.2865905, 57.6697047"
9892,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.72996721, 53.33652472"
9893,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.67778877, 52.52231927"
9894,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.63186286, 52.51236196"
9895,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.53386105, 51.10083473"
9896,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.53386105, 51.10083473"
9897,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.05124289, 61.50177317"
9898,Southern Asia,2021,1.0,1,,,,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"28.95046741, 57.57054013"
9899,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.05124289, 61.50177317"
9900,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.05124289, 61.50177317"
9901,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.27629382, 57.0662465"
9902,Southern Asia,2021,1.0,1,,,,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"28.95046741, 57.57054013"
9903,Southern Asia,2021,1.0,1,,,,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"28.86914706, 61.16275687"
9904,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.35022729, 62.35316592"
9905,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.63186286, 52.51236196"
9906,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.1892535, 56.23307736"
9907,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.21161534, 60.68482798"
9908,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.35022729, 62.35316592"
9909,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.63186286, 52.51236196"
9910,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.27629382, 57.0662465"
9911,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.91397523, 50.92710097"
9912,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.47645121, 60.86744515"
9913,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.47645121, 60.86744515"
9914,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.47645121, 60.86744515"
9915,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.47645121, 60.86744515"
9916,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.47645121, 60.86744515"
9917,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.1403563, 58.1782498"
9918,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.95046741, 57.57054013"
9919,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.91397523, 50.92710097"
9920,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.23007995, 61.19603687"
9921,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.89202146, 61.68389773"
9922,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"32.213049, 54.079164"
9923,Southern Asia,2021,1.0,1,,,,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"27.35022729, 62.35316592"
9924,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"36.8127762, 59.0964723"
9925,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"26.526372, 54.013255"
9926,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"25.305077, 60.657897"
9927,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.63186286, 52.51236196"
9928,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.1793466, 56.2781423"
9929,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.516516, 60.851173"
9930,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.673846, 54.312756"
9931,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.21161534, 60.68482798"
9932,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.35022729, 62.35316592"
9933,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.05124289, 61.50177317"
9934,Southern Asia,2021,1.0,1,,,,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"28.91397523, 50.92710097"
9935,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.30573986, 56.00364259"
9936,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.88472913, 54.33057395"
9937,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.05124289, 61.50177317"
9938,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.27629382, 57.0662465"
9939,Southern Asia,2021,1.0,1,,1.0,,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.27629382, 57.0662465"
9940,Southern Asia,2021,1.0,1,,1.0,,,Southern Asia,Afghanistan,Afghanistan to Iran,"32.25398987, 52.50577501"
9941,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.35022729, 62.35316592"
9942,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.668333, 51.588056"
9943,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.27629382, 57.0662465"
9944,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.907916, 56.586928"
9945,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.95046741, 57.57054013"
9946,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.30573986, 56.00364259"
9947,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.190837, 60.479822"
9948,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.88472913, 54.33057395"
9949,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.63186286, 52.51236196"
9950,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.47645121, 60.86744515"
9951,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.30573986, 56.00364259"
9952,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.30573986, 56.00364259"
9953,Southern Asia,2021,1.0,1,,1.0,,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.1793466, 56.2781423"
9954,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.65968155, 52.65745708"
9955,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.35022729, 62.35316592"
9956,Southern Asia,2021,1.0,1,,,,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"29.63186286, 52.51236196"
9957,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.27629382, 57.0662465"
9958,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.673846, 54.312756"
9959,Southern Asia,2021,1.0,1,,1.0,,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.30573986, 56.00364259"
9960,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.88472913, 54.33057395"
9961,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.47645121, 60.86744515"
9962,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.21161534, 60.68482798"
9963,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.35022729, 62.35316592"
9964,Southern Asia,2021,1.0,1,,1.0,,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.91397523, 50.92710097"
9965,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"32.25398987, 52.50577501"
9966,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.35022729, 62.35316592"
9967,Southern Asia,2021,1.0,1,,1.0,,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.35022729, 62.35316592"
9968,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.1793466, 56.2781423"
9969,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.91397523, 50.92710097"
9970,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.02631, 61.524888"
9971,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.91397523, 50.92710097"
9972,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.23007995, 61.19603687"
9973,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.23007995, 61.19603687"
9974,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.23007995, 61.19603687"
9975,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.23007995, 61.19603687"
9976,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.1793466, 56.2781423"
9977,Southern Asia,2021,1.0,1,,1.0,,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.91397523, 50.92710097"
9978,Southern Asia,2021,1.0,1,,1.0,,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.27629382, 57.0662465"
9979,Southern Asia,2021,1.0,1,,,,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"30.27629382, 57.0662465"
9980,Southern Asia,2021,1.0,1,,,,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"27.35022729, 62.35316592"
9981,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.35022729, 62.35316592"
9982,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"34.062187, 49.708889"
9983,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.35022729, 62.35316592"
9984,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"34.062187, 49.708889"
9985,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.21161534, 60.68482798"
9986,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.21161534, 60.68482798"
9987,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.21161534, 60.68482798"
9988,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.21161534, 60.68482798"
9989,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.21161534, 60.68482798"
9990,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.21161534, 60.68482798"
9991,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.1793466, 56.2781423"
